ZIP Code,State,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies,Representative Lat,Representative Lon
01243,MA,HAMPSHIRE,0,0,1,0,42.34461302461084,-73.00954096820603
01244,MA,BERKSHIRE,0,0,1,0,42.112727482938446,-73.26637870524775
01245,MA,BERKSHIRE,0,0,1,0,42.17969373953144,-73.21376660597313
01247,MA,BERKSHIRE,1,1,2,0,42.706284450888084,-73.10232568228156
01253,MA,BERKSHIRE,0,0,1,0,42.19258368425693,-73.09334206570317
01254,MA,BERKSHIRE,0,0,1,0,42.390092341224886,-73.36697818627084
01255,MA,BERKSHIRE,0,1,1,0,42.0971899530654,-73.08747501018124
01256,MA,BERKSHIRE,0,0,1,0,42.56372687217639,-73.02505149010958
01257,MA,BERKSHIRE,0,0,1,0,42.11095738864273,-73.3541698371665
01258,MA,BERKSHIRE,0,0,1,0,42.09975619759334,-73.45323602066185
01264,MA,BERKSHIRE,0,0,1,0,42.245871567450145,-73.20431363064377
01266,MA,BERKSHIRE,0,0,1,0,42.33643764799162,-73.37432717605047
01267,MA,BERKSHIRE,0,1,1,0,42.707911190013846,-73.1975844107458
01270,MA,BERKSHIRE,0,0,1,0,42.511051010813745,-73.05752763399722
01301,MA,FRANKLIN,1,4,1,0,42.58988630336308,-72.6027370560374
01331,MA,WORCESTER,1,2,2,0,42.576829002518664,-72.20392522552677
01337,MA,FRANKLIN,0,0,2,0,42.68609583818305,-72.59094173527366
01339,MA,FRANKLIN,0,0,2,0,42.61584059666308,-72.892153993484
01340,MA,FRANKLIN,0,0,1,0,42.673830927568055,-72.70700587067105
01341,MA,FRANKLIN,0,0,1,0,42.50781109857093,-72.69636871008284
01343,MA,BERKSHIRE,0,0,1,0,42.666187612600076,-73.0097923662299
01346,MA,FRANKLIN,0,0,1,0,42.67371703587045,-72.82173987287284
01350,MA,FRANKLIN,0,0,1,0,42.72239909801226,-72.94169910289355
01354,MA,FRANKLIN,0,0,1,0,42.6412017556541,-72.4998136562722
01355,MA,FRANKLIN,0,0,1,0,42.50127772453558,-72.33125807567349
01364,MA,FRANKLIN,0,0,1,0,42.590379981482734,-72.30341073754482
01366,MA,WORCESTER,0,0,1,0,42.48805868370945,-72.18604432840375
01367,MA,FRANKLIN,0,0,1,0,42.6947178618095,-72.89840267325373
01368,MA,WORCESTER,0,0,1,0,42.63046310398665,-72.14727524430316
01370,MA,FRANKLIN,0,1,2,0,42.603843087726375,-72.73840166279378
01373,MA,FRANKLIN,0,0,1,0,42.47930421029161,-72.60829357399035
01375,MA,FRANKLIN,0,0,1,0,42.46756158108706,-72.58049011946163
01376,MA,FRANKLIN,0,1,1,0,42.59788179969385,-72.56590114026045
01378,MA,FRANKLIN,0,0,1,0,42.68234350628547,-72.33815703375024
01379,MA,FRANKLIN,0,0,1,0,42.54863046607184,-72.39561775563558
01420,MA,WORCESTER,1,5,1,0,42.58845176002579,-71.80032970533705
01430,MA,WORCESTER,0,0,1,0,42.636344122063036,-71.9089959230929
01431,MA,MIDDLESEX,0,0,1,0,42.678469428498566,-71.82250697014557
01432,MA,MIDDLESEX,1,2,2,0,42.56716438546897,-71.57962844305175
01434,MA,WORCESTER,1,0,0,0,42.53025503,-71.61498098
01436,MA,WORCESTER,0,1,1,0,42.60847048756116,-72.06799880832963
01440,MA,WORCESTER,1,3,1,0,42.575309249310735,-71.98625327503866
01450,MA,MIDDLESEX,0,2,1,0,42.60750650519901,-71.59302237260623
01451,MA,WORCESTER,0,0,1,0,42.5026401245443,-71.58470246695353
01452,MA,WORCESTER,0,0,1,0,42.47500355616194,-72.00778458375927
01453,MA,WORCESTER,1,6,1,0,42.53721363525706,-71.7550831961099
01460,MA,MIDDLESEX,0,1,1,0,42.535151971142724,-71.489842224132
01462,MA,WORCESTER,0,0,1,0,42.594520442426,-71.72478231183109
01463,MA,MIDDLESEX,0,0,1,0,42.667427574862074,-71.597809682858
01464,MA,MIDDLESEX,0,0,1,0,42.54527194797583,-71.64153991074521
01469,MA,MIDDLESEX,0,0,1,0,42.6670436669779,-71.70699419596598
01473,MA,WORCESTER,0,0,1,0,42.54319453402255,-71.91290953603665
01475,MA,WORCESTER,0,1,1,0,42.68812529564358,-72.04598515240477
01501,MA,WORCESTER,0,3,1,0,42.18647844571973,-71.84742134667069
01503,MA,WORCESTER,0,0,1,0,42.38105590134694,-71.6400798061502
01504,MA,WORCESTER,0,2,1,0,42.05865128868897,-71.6786836991101
01505,MA,WORCESTER,0,0,1,0,42.32963918875959,-71.75533691261336
01506,MA,WORCESTER,0,0,1,0,42.215261687116076,-72.10126600940444
01507,MA,WORCESTER,0,2,1,0,42.14521620512955,-71.95949143920318
01510,MA,WORCESTER,1,1,1,0,42.420621542788524,-71.68635681745322
01515,MA,WORCESTER,0,0,1,0,42.22489239682241,-72.0523842972983
01516,MA,WORCESTER,0,0,1,0,42.068729039779264,-71.7115432636671
01519,MA,WORCESTER,0,1,1,0,42.2096032682415,-71.68397862134216
01520,MA,WORCESTER,0,1,1,0,42.349050400103664,-71.85840617318175
01521,MA,HAMPDEN,0,0,1,0,42.06610622364872,-72.16061064576456
01523,MA,WORCESTER,0,2,1,0,42.4641575382698,-71.67741087284762
01524,MA,WORCESTER,0,0,1,0,42.247260369627575,-71.90611158812374
01527,MA,WORCESTER,0,1,1,0,42.20712964531958,-71.75978164684582
01529,MA,WORCESTER,0,0,1,0,42.0273842932067,-71.58162304215914
01531,MA,WORCESTER,0,0,1,0,42.317330730578895,-72.12272245951314
01532,MA,WORCESTER,0,4,1,0,42.31627064656164,-71.65070566540626
01534,MA,WORCESTER,0,2,0,0,42.15567469750005,-71.651299154
01535,MA,WORCESTER,0,0,1,0,42.268799051070474,-72.08541977899434
