OBJECTID,Name,Address,City,State,Zip,Status,x,y
54683,CVS Pharmacy #09624,1747 NORTH CAHUENGA BOULEVARD,HOLLYWOOD,CA,90028,open,-13172404.1761106,4042654.25281363
54684,CVS PHARMACY#09636,24840 ORCHARD VILLAGE,SANTA CLARITA,CA,91355,open,-13195831.5855871,4080062.57911893
54686,CVS Pharmacy #09767,9045 WILSHIRE BOULEVARD,BEVERLY HILLS,CA,90211,open,-13179022.0085188,4037855.25633809
54688,CVS Pharmacy #09572,5117 LAKEWOOD BOULEVARD,LAKEWOOD,CA,90712,open,-13151650.2155251,4008822.38962683
54689,CVS Pharmacy #09505,4400 E Los Coyotes Diagonal,LONG BEACH,CA,90815,open,-13151413.8842461,4000676.39679393
54690,CVS Pharmacy #09706,9038 BALBOA BLVD,NORTHRIDGE,CA,91325,open,-13191620.8145283,4060393.06198602
54692,CVS Pharmacy #09476,711 PIER AVENUE,HERMOSA BEACH,CA,90254,open,-13179595.6378549,4010786.25896984
54693,CVS Pharmacy #09789,9900 SEPULVEDA BLVD,MISSION HILLS,CA,91345,open,-13187725.188948,4062405.3023536
54697,CVS Pharmacy #09692,1820 W VERDUGO AVE,BURBANK,CA,91506,open,-13171821.1959374,4051236.98255102
54698,CVS Pharmacy #09769,8580 WHITTIER BOULEVARD,PICO RIVERA,CA,90660,open,-13145602.5615488,4029240.57857006
54699,CVS Pharmacy #09573,6299 SOUTH BRISTOL PARKWAY,CULVER CITY,CA,90230,open,-13179407.7305544,4026439.42363899
54700,CVS Pharmacy #09589,12221 CARSON STREET,HAWAIIAN GARDENS,CA,90716,open,-13143594.9145323,4006260.48214706
54703,CVS Pharmacy #09781,5985 WEST PICO BOULEVARD,LOS ANGELES,CA,90035,open,-13176948.2377248,4035844.26869134
54704,CVS Pharmacy #09657,44430 CHALLENGER WAY,LANCASTER,CA,93535,open,-13148173.5965081,4121888.69120728
54705,CVS Pharmacy #09687,702 NORTH AZUSA AVE,WEST COVINA,CA,91791,open,-13125359.0008285,4039970.89877753
54707,CVS Pharmacy #09673,1550 PUENTE AVENUE,BALDWIN PARK,CA,91706,open,-13132160.621716,4037342.86822826
54708,CVS Pharmacy #09660,3751 WILSHIRE BOULEVARD,LOS ANGELES,CA,90010,open,-13170006.7995569,4037111.74345064
54709,CVS Pharmacy #09680,188 W LAS TUNAS,ARCADIA,CA,91007,open,-13139899.2187575,4043182.74463609
54710,CVS Pharmacy #09780,101 W FOOTHILL BLVD,AZUSA,CA,91702,open,-13125446.6092678,4046812.26875401
54711,CVS Pharmacy #09758,13525 BEACH BOULEVARD,LA MIRADA,CA,90638,open,-13133266.358218,4016624.22498881
54714,CVS Pharmacy #09665,5944 NORTH FIGUEROA AVENUE,LOS ANGELES,CA,90042,open,-13156783.8251625,4043725.78178108
54719,CVS Pharmacy #09638,20839 W Roscoe Blvd,Winnetka,CA,91306,open,-13201123.4915404,4058399.89163201
54722,CVS Pharmacy #09686,4707 WEST VENICE BOULEVARD,LOS ANGELES,CA,90019,open,-13173468.3904426,4035118.75560617
54723,CVS Pharmacy #09543,2001 PACIFIC COAST HIGHWAY,LOMITA,CA,90717,open,-13160056.9521503,4000676.5307397
54728,CVS Pharmacy #09771,9256 EAST SLAUSON AVENUE,PICO RIVERA,CA,90660,open,-13146815.9439984,4024665.74577533
54729,CVS Pharmacy #09672,14503 RAMONA BLVD,BALDWIN PARK,CA,91706,open,-13131137.8182346,4040482.06105896
54732,CVS Pharmacy #09557,1250 PACIFIC COAST HIGHWAY,LONG BEACH,CA,90806,open,-13155152.9946224,4000581.42963885
54735,CVS Pharmacy #09773,15743 IMPERIAL HIGHWAY,LA MIRADA,CA,90638,open,-13135227.1397289,4017708.73729198
54736,CVS Pharmacy #09101,155 PACIFIC COAST HIGHWAY,HERMOSA BEACH,CA,90254,open,-13179225.9458259,4009497.97628904
54737,CVS Pharmacy #09588,15103 SOUTH HAWTHORNE BOULEVARD,LAWNDALE,CA,90260,open,-13175029.5349815,4014600.61365109
54740,CVS Pharmacy #09696,10048 Mills Ave.,Whittier,CA,90604,open,-13138920.1638359,4021018.71223603
54741,CVS Pharmacy #09788,2315 HUNTINGTON DR,DUARTE,CA,91010,open,-13130698.9968019,4047666.56944249
54742,CVS Pharmacy #08875,3644 EAST OLYMPIC BOULEVARD,LOS ANGELES,CA,90023,open,-13157882.5485367,4031301.16826671
54743,CVS Pharmacy #09614,1122 EAST BROADWAY,GLENDALE,CA,91205,open,-13162466.573848,4048396.1112927
