ZIP Code,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies
02025,NORFOLK,0,1,1,0
02026,NORFOLK,1,5,1,0
02030,NORFOLK,0,0,1,0
02035,NORFOLK,1,0,1,0
02038,NORFOLK,0,2,1,0
02043,PLYMOUTH,0,5,1,0
02045,PLYMOUTH,0,0,1,0
02048,BRISTOL,0,1,1,0
02050,PLYMOUTH,0,1,1,0
02052,NORFOLK,0,1,1,0
02053,NORFOLK,0,2,1,0
02054,NORFOLK,0,0,1,0
02056,NORFOLK,0,0,1,0
02061,PLYMOUTH,0,2,1,0
02062,NORFOLK,1,7,1,0
02066,PLYMOUTH,0,2,1,0
02067,NORFOLK,0,2,1,0
02072,NORFOLK,2,5,1,0
02081,NORFOLK,0,2,1,0
02090,NORFOLK,1,3,1,0
02093,NORFOLK,0,3,1,0
02108,SUFFOLK,0,0,1,0
02109,SUFFOLK,0,1,0,0
02111,SUFFOLK,1,0,0,0
02114,SUFFOLK,3,0,0,0
02115,SUFFOLK,2,1,0,0
02118,SUFFOLK,3,0,1,0
02119,SUFFOLK,0,1,0,0
02120,SUFFOLK,1,2,0,0
02122,SUFFOLK,0,2,0,0
02124,SUFFOLK,1,1,0,0
02126,SUFFOLK,0,1,0,0
02127,SUFFOLK,0,2,0,0
02129,SUFFOLK,1,1,0,0
02130,SUFFOLK,4,4,0,0
02131,SUFFOLK,1,1,0,0
02132,SUFFOLK,1,5,0,0
02134,SUFFOLK,0,1,0,0
02135,SUFFOLK,3,3,0,0
02136,SUFFOLK,0,1,0,0
02138,MIDDLESEX,1,5,0,0
02139,MIDDLESEX,1,0,1,0
02140,MIDDLESEX,0,1,0,0
02143,MIDDLESEX,1,0,0,0
02144,MIDDLESEX,0,1,0,0
02145,MIDDLESEX,0,0,1,0
02146,NORFOLK,1,0,0,0
02148,MIDDLESEX,0,3,1,0
02149,MIDDLESEX,1,1,1,0
02150,SUFFOLK,0,6,1,0
02151,SUFFOLK,0,3,1,0
02152,SUFFOLK,0,1,1,0
02155,MIDDLESEX,1,3,1,0
02164,MIDDLESEX,0,1,0,0
02167,NORFOLK,1,0,0,0
02169,NORFOLK,1,7,0,0
02170,NORFOLK,0,1,0,0
02171,NORFOLK,0,2,1,0
02176,MIDDLESEX,1,3,1,0
02180,MIDDLESEX,0,3,1,0
02184,NORFOLK,1,7,1,0
02186,NORFOLK,1,2,1,0
02188,NORFOLK,0,3,0,0
02189,NORFOLK,0,1,1,0
02190,NORFOLK,1,1,0,0
02192,NORFOLK,1,0,0,0
02215,SUFFOLK,3,0,0,0
02238,MIDDLESEX,1,0,0,0
02254,MIDDLESEX,1,0,0,0
02301,PLYMOUTH,1,5,1,0
02302,PLYMOUTH,1,2,0,0
02322,NORFOLK,0,0,1,0
02324,PLYMOUTH,0,1,1,0
02330,PLYMOUTH,0,0,1,0
02332,PLYMOUTH,0,3,1,0
02333,PLYMOUTH,0,1,1,0
02338,PLYMOUTH,0,0,1,0
02339,PLYMOUTH,0,0,1,0
02341,PLYMOUTH,0,1,1,0
02343,NORFOLK,0,0,1,0
02346,PLYMOUTH,2,4,1,0
02347,PLYMOUTH,0,0,1,0
02351,PLYMOUTH,0,1,1,0
02356,BRISTOL,0,2,1,0
02359,PLYMOUTH,1,1,1,0
02360,PLYMOUTH,1,7,1,0
02364,PLYMOUTH,0,2,1,0
02367,PLYMOUTH,0,0,1,0
02368,NORFOLK,0,1,1,0
02370,PLYMOUTH,0,2,1,0
02379,PLYMOUTH,0,1,1,0
02382,PLYMOUTH,0,0,1,0
02401,PLYMOUTH,1,0,0,0
02420,MIDDLESEX,0,1,1,0
02421,MIDDLESEX,0,3,0,0
02445,NORFOLK,0,1,1,0
02446,NORFOLK,0,1,0,0
02451,MIDDLESEX,0,1,1,0
02452,MIDDLESEX,0,1,0,0
02453,MIDDLESEX,1,1,0,0
02458,MIDDLESEX,0,2,0,0
02459,MIDDLESEX,0,1,1,0
02462,MIDDLESEX,1,2,0,0
02464,MIDDLESEX,0,1,0,0
02465,MIDDLESEX,0,3,0,0
02466,MIDDLESEX,0,1,0,0
02467,NORFOLK,0,3,0,0
02472,MIDDLESEX,0,3,1,0
02474,MIDDLESEX,0,1,0,0
02476,MIDDLESEX,0,2,1,0
02478,MIDDLESEX,1,1,1,0
02481,NORFOLK,0,3,1,0
02482,NORFOLK,0,1,0,0
02492,NORFOLK,0,3,1,0
02493,MIDDLESEX,0,3,1,0
02494,NORFOLK,0,2,0,0
02532,BARNSTABLE,0,3,1,0
02535,DUKES,0,0,2,0
02537,BARNSTABLE,1,0,0,0
02539,DUKES,0,0,1,0
02540,BARNSTABLE,1,5,1,0
02542,BARNSTABLE,1,0,0,0
02554,NANTUCKET,1,1,1,0
02556,BARNSTABLE,0,1,0,0
02557,DUKES,1,1,1,0
02559,BARNSTABLE,1,1,0,0
02560,PLYMOUTH,0,1,0,0
02563,BARNSTABLE,0,3,1,0
02568,DUKES,0,1,2,0
02571,PLYMOUTH,1,3,1,0
02601,BARNSTABLE,1,2,1,0
02630,BARNSTABLE,0,0,1,0
02631,BARNSTABLE,0,3,1,0
02632,BARNSTABLE,0,3,0,0
02633,BARNSTABLE,0,0,1,0
02639,BARNSTABLE,0,0,1,0
02642,BARNSTABLE,0,0,1,0
02645,BARNSTABLE,0,1,1,0
02649,BARNSTABLE,0,3,1,0
02650,BARNSTABLE,0,2,0,0
02653,BARNSTABLE,0,0,1,0
02657,BARNSTABLE,0,0,1,0
02660,BARNSTABLE,0,1,0,0
02664,BARNSTABLE,0,2,1,0
02666,BARNSTABLE,0,0,1,0
02667,BARNSTABLE,0,0,1,0
02673,BARNSTABLE,0,3,0,0
02676,BRISTOL,0,1,0,0
02702,BRISTOL,0,0,1,0
02703,BRISTOL,2,5,1,0
02715,BRISTOL,0,0,1,0
02719,BRISTOL,0,4,1,0
02720,BRISTOL,2,5,0,0
02721,BRISTOL,1,1,0,0
02722,BRISTOL,0,0,1,0
02723,BRISTOL,0,1,0,0
02724,BRISTOL,0,2,0,0
02725,BRISTOL,0,2,0,0
02726,BRISTOL,0,1,1,0
02738,PLYMOUTH,0,1,1,0
02739,PLYMOUTH,0,0,1,0
02740,BRISTOL,1,4,2,0
02743,BRISTOL,0,0,1,0
02745,BRISTOL,1,2,0,0
02746,BRISTOL,0,1,0,0
02747,BRISTOL,1,3,1,0
